date,reservation count,defects,year,month,day
12/30/2018,162,0,2018,Dec,30
12/31/2018,144,4,2018,Dec,31
1/1/2019,104,0,2019,Jan,1
1/2/2019,66,0,2019,Jan,2
1/3/2019,95,1,2019,Jan,3
1/4/2019,112,0,2019,Jan,4
1/5/2019,113,2,2019,Jan,5
1/6/2019,89,1,2019,Jan,6
1/7/2019,52,1,2019,Jan,7
1/8/2019,19,0,2019,Jan,8
1/9/2019,24,0,2019,Jan,9
1/10/2019,31,0,2019,Jan,10
1/11/2019,60,0,2019,Jan,11
1/12/2019,105,0,2019,Jan,12
1/13/2019,50,0,2019,Jan,13
1/14/2019,35,0,2019,Jan,14
1/15/2019,29,0,2019,Jan,15
1/16/2019,28,0,2019,Jan,16
1/17/2019,28,0,2019,Jan,17
1/18/2019,0,0,2019,Jan,18
1/19/2019,121,0,2019,Jan,19
1/20/2019,83,0,2019,Jan,20
1/21/2019,47,0,2019,Jan,21
1/22/2019,29,0,2019,Jan,22
1/23/2019,35,0,2019,Jan,23
1/24/2019,17,0,2019,Jan,24
1/25/2019,63,0,2019,Jan,25
1/26/2019,96,3,2019,Jan,26
1/27/2019,71,0,2019,Jan,27
1/28/2019,43,0,2019,Jan,28
1/29/2019,27,0,2019,Jan,29
1/30/2019,19,0,2019,Jan,30
1/31/2019,10,0,2019,Jan,31
2/1/2019,31,0,2019,Feb,1
2/2/2019,61,0,2019,Feb,2
2/3/2019,52,0,2019,Feb,3
2/4/2019,44,0,2019,Feb,4
2/5/2019,39,0,2019,Feb,5
2/6/2019,25,0,2019,Feb,6
2/7/2019,27,0,2019,Feb,7
2/8/2019,58,1,2019,Feb,8
2/9/2019,99,0,2019,Feb,9
2/10/2019,59,2,2019,Feb,10
2/11/2019,33,0,2019,Feb,11
2/12/2019,32,0,2019,Feb,12
2/13/2019,30,1,2019,Feb,13
2/14/2019,63,0,2019,Feb,14
2/15/2019,106,0,2019,Feb,15
2/16/2019,173,1,2019,Feb,16
2/17/2019,156,1,2019,Feb,17
2/18/2019,108,0,2019,Feb,18
2/19/2019,63,0,2019,Feb,19
2/20/2019,39,0,2019,Feb,20
2/21/2019,64,0,2019,Feb,21
2/22/2019,87,0,2019,Feb,22
2/23/2019,128,0,2019,Feb,23
2/24/2019,57,0,2019,Feb,24
2/25/2019,39,0,2019,Feb,25
2/26/2019,31,0,2019,Feb,26
2/27/2019,44,0,2019,Feb,27
2/28/2019,46,2,2019,Feb,28
3/1/2019,96,1,2019,Mar,1
3/2/2019,115,1,2019,Mar,2
3/3/2019,76,0,2019,Mar,3
3/4/2019,80,0,2019,Mar,4
3/5/2019,40,0,2019,Mar,5
3/6/2019,59,1,2019,Mar,6
3/7/2019,94,0,2019,Mar,7
3/8/2019,97,0,2019,Mar,8
3/9/2019,194,2,2019,Mar,9
3/10/2019,80,2,2019,Mar,10
3/11/2019,190,2,2019,Mar,11
3/12/2019,123,1,2019,Mar,12
3/13/2019,89,1,2019,Mar,13
3/14/2019,140,2,2019,Mar,14
3/15/2019,145,2,2019,Mar,15
3/16/2019,191,0,2019,Mar,16
3/17/2019,161,3,2019,Mar,17
3/18/2019,185,2,2019,Mar,18
3/19/2019,191,4,2019,Mar,19
3/20/2019,141,2,2019,Mar,20
3/21/2019,137,1,2019,Mar,21
3/22/2019,162,7,2019,Mar,22
3/23/2019,196,1,2019,Mar,23
3/24/2019,6,1,2019,Mar,24
3/25/2019,180,2,2019,Mar,25
3/26/2019,145,4,2019,Mar,26
3/27/2019,7,0,2019,Mar,27
3/28/2019,3,0,2019,Mar,28
3/29/2019,197,0,2019,Mar,29
3/30/2019,226,5,2019,Mar,30
3/31/2019,1,0,2019,Mar,31
4/1/2019,176,2,2019,Apr,1
